,rank,artist,song name,genres,album,explicit,energy,danceability,happiness,popularity,track_id,MBID,num_genres,weight,genre_group
0,1,SAILORR,POOKIE'S REQUIEM,r&b,POOKIE'S REQUIEM,1,70,50,66,23,0Cu1FFIqiLPHXDLCxTUUnR,b1a17965-b396-42e4-84f7-25d42b12f7c0,0,1,R&B + Soul
1,2,Cash Cobain,CASH COBELLA CHOW COBIZZY,hip hop,2 SLIZZY 2 SEXY (DELUXE),1,60,65,53,23,5Y2rV3zOArTzTYKVD1umBA,4f57372b-2054-4722-a534-a99ab2598120,0,1,"Hip-Hop, Rap"
2,3,Hiatus Kaiyote,Telescope,"neo soul, r&b",Telescope,0,64,72,70,27,29oH20WCU0mVO3SwfIaaib,55c03773-59ea-4d4e-9057-87c2ecab005d,2,0.5,R&B + Soul
3,4,Eem Triplin,YEAH YEAH!,"hip hop, trap",YEAH YEAH!,1,48,46,30,43,1spPgvtcDwxARDc8i6TYjT,c834075f-eecf-4c27-8276-d54fc2c0ed86,2,0.5,"Hip-Hop, Rap"
4,5,Samiyam,smoke break,hip hop,Animals Have Feelings,0,54,42,45,13,3ZHVUjAoLmwPCa2tTRfk2s,6327bdfb-76b9-4a05-b447-01d98f1715dc,1,1,"Hip-Hop, Rap"
5,6,_BY.ALEXANDER,FRIENDZONE,alternative r&b,FRIENDZONE,0,68,47,46,37,2CUWQEPhGo67JuDBng3jlN,03a81802-28fb-4733-a506-132886e40ed5,0,1,R&B + Soul
6,7,Foolie $urfin,WHERE YOU BEEN,experimental rap,Stay Safe,1,76,50,50,21,5whMuC5R45eJ51iUGHKb4L,6c59e924-22f5-4534-8975-a3fef0ab4d4a,0,1,"Hip-Hop, Rap"
7,8,Hiatus Kaiyote,Sparkle Tape Break Up,"neo soul, r&b",Mood Valiant,0,63,63,45,41,2HkkI8s7wDYFls9pMEnxPi,55c03773-59ea-4d4e-9057-87c2ecab005d,2,0.5,R&B + Soul
8,9,Victoria Monét,On My Mama,"alternative r&b, funk, pop, r&b, soul",On My Mama,1,55,68,70,66,1o8Z7GD1CeOaVBEyuzu4HO,28d83274-26ab-4a6a-b9ff-340f4784e7dd,5,0.2,R&B + Soul
9,10,Duckwrth,007 (Jersey Mix),"alternative r&b, trap soul",Chrome Bull DLX,1,71,39,69,44,1qLBZLeGS6FEHgVKWqhuVv,2bc82618-2d0f-436e-adb2-8aa0774dd799,2,0.5,R&B + Soul
10,11,Leon Thomas,DANCING WITH DEMONS,contemporary r&b,MUTT,1,76,34,20,58,5d5zlLTuykcqoT4EhhyC2Q,412ff65d-26bf-4849-ba19-d2a58030fd1a,0,1,R&B + Soul
11,12,SZA,Saturn,"alternative r&b, contemporary r&b, electronic, hip hop soul, neo soul, pop, r&b",Saturn,0,58,56,33,83,1bjeWoagtHmUKputLVyDxQ,272989c8-5535-492d-a25c-9f58803e027f,7,0.1428571429,R&B + Soul
12,13,Jordan Ward,WHITE CROCS (with Ryan Trey),pop rap,FORWARD,1,43,71,65,15,0VNe1ZE8U2baB3JKZpEBok,1592ba81-f73b-4b13-b456-885630a1cfb2,0,1,"Hip-Hop, Rap"
13,14,Jordan Ward,311 (with Gwen Bunn),alternative r&b,FORWARD,0,24,46,31,37,5cKRhjcflNOmlI2fqXBhjI,1592ba81-f73b-4b13-b456-885630a1cfb2,0,1,R&B + Soul
14,15,St Germain,How Dare You,"acid jazz, deep house, downtempo, electronic, electronica, house, jazz, nu jazz",St Germain,0,61,58,56,44,4W3W4cbErPT3JCW60IxKKj,9a04dc8c-82f1-457a-a25a-3ff19e1b471e,8,0.125,"Funk, House, Dance"
15,16,Eem Triplin,WALKED IN,"hip hop, trap",STILL PRETTY,1,52,66,65,46,232hyHvhIvmKSmN9LXy53n,c834075f-eecf-4c27-8276-d54fc2c0ed86,2,0.5,"Hip-Hop, Rap"
16,17,Eem Triplin,ALLOCATE,"hip hop, trap",YEAH YEAH!,1,55,70,30,40,7njFMXMSIiLFzPH3jguEgt,c834075f-eecf-4c27-8276-d54fc2c0ed86,2,0.5,"Hip-Hop, Rap"
17,18,The Defaulters,Gentle Man,soul,Gentle Man b/w Disco Dennis,0,39,39,44,34,5USP709Hvu8ApaxWk8pP0v,4c075066-c3f1-412c-bbcf-31ede03c89fc,0,1,R&B + Soul
18,19,Boubacar Traoré,Duna Ma Yelema,"african blues, blues",Je chanterai pour toi,0,39,77,65,19,0HJwerukjDDd84wXbwLc43,5cc16125-511c-4669-9e56-651fec2690c3,2,0.5,Jazz + Blues
19,20,DESTIN CONRAD,LUV N DEVOTION,dance reggae,SUBMISSIVE,0,64,73,76,36,1z0RylGOutcuAKix77tYYc,66d80005-1809-4b72-a57a-3414e1c63d93,0,1,"Funk, House, Dance"
20,21,Leon Thomas,YES IT IS,contemporary r&b,MUTT,1,64,45,29,73,2iksjpqL3eraxCBKqNHuqd,412ff65d-26bf-4849-ba19-d2a58030fd1a,0,1,R&B + Soul
21,22,Elijah Fox,Inside/Outside,"boom bap, chillwave, downtempo, hip hop, instrumental, instrumental hip hop, lo-fi, lo-fi hip hop",Jan 14 (Piano Improvisations),0,4,29,12,27,6e7v13Rt9La90c26VMKbR9,db12c40c-7e5d-420f-9923-e51c431ea0e3,8,0.125,"Hip-Hop, Rap"
22,23,Majid Jordan,Tears In Your Eyes,"alternative r&b, contemporary r&b",Good People,0,30,50,28,40,17pJWWBWy7WXSnGa58DIZy,abaa7001-0d80-4e58-be5d-d2d246fd9d87,2,0.5,R&B + Soul
23,24,Yeat,If We Being Rëal,"cloud rap, experimental hip hop, hip hop, pop rap, rage, trap",2093,1,50,45,21,80,0YThXX1dqUpYBLyJNAsF9N,9e6a6a2f-f696-4cc0-87f1-e4f712e46802,6,0.1666666667,"Hip-Hop, Rap"
24,25,Hiatus Kaiyote,Dimitri,"neo soul, r&b",Love Heart Cheat Code,0,54,50,74,48,1a4uzwj1AaLhwWN8rUQxjg,55c03773-59ea-4d4e-9057-87c2ecab005d,2,0.5,R&B + Soul
25,26,Jordan Ward,CHERIMOYA - BONUS,hip hop soul,FORWARD,1,32,52,39,51,0k4S8MgCg1CKWUy5hNV8GA,1592ba81-f73b-4b13-b456-885630a1cfb2,0,1,R&B + Soul
26,27,Che Ecru,4 This Moment,r&b,Cold Toronto,1,48,45,45,53,1MWJbn3Yv8R1q5DaYOOzum,b07a8509-78d9-44b1-ab78-3321d0149ed4,1,1,R&B + Soul
