,name,album,artist,popularity,track_id,genres,MBID
0,POOKIE'S REQUIEM,POOKIE'S REQUIEM,SAILORR,21,0Cu1FFIqiLPHXDLCxTUUnR,,
1,CASH COBELLA CHOW COBIZZY,2 SLIZZY 2 SEXY (DELUXE),Cash Cobain,23,5Y2rV3zOArTzTYKVD1umBA,,
2,Telescope,Telescope,Hiatus Kaiyote,27,29oH20WCU0mVO3SwfIaaib,,
3,YEAH YEAH!,YEAH YEAH!,Eem Triplin,43,1spPgvtcDwxARDc8i6TYjT,,
4,smoke break,Animals Have Feelings,Samiyam,13,3ZHVUjAoLmwPCa2tTRfk2s,,
5,FRIENDZONE,FRIENDZONE,_BY.ALEXANDER,36,2CUWQEPhGo67JuDBng3jlN,,
6,WHERE YOU BEEN,Stay Safe,Foolie $urfin,21,5whMuC5R45eJ51iUGHKb4L,,
7,Sparkle Tape Break Up,Mood Valiant,Hiatus Kaiyote,41,2HkkI8s7wDYFls9pMEnxPi,,
8,On My Mama,On My Mama,Victoria Monét,66,1o8Z7GD1CeOaVBEyuzu4HO,,
9,007 (Jersey Mix),Chrome Bull DLX,Duckwrth,44,1qLBZLeGS6FEHgVKWqhuVv,,
10,DANCING WITH DEMONS,MUTT,Leon Thomas,57,5d5zlLTuykcqoT4EhhyC2Q,,
11,Saturn,Saturn,SZA,83,1bjeWoagtHmUKputLVyDxQ,,
12,WHITE CROCS (with Ryan Trey),FORWARD,Jordan Ward,13,0VNe1ZE8U2baB3JKZpEBok,,
13,311 (with Gwen Bunn),FORWARD,Jordan Ward,37,5cKRhjcflNOmlI2fqXBhjI,,
14,WALKED IN,STILL PRETTY,Eem Triplin,45,232hyHvhIvmKSmN9LXy53n,,
15,How Dare You,St Germain,St Germain,44,4W3W4cbErPT3JCW60IxKKj,,
16,ALLOCATE,YEAH YEAH!,Eem Triplin,40,7njFMXMSIiLFzPH3jguEgt,,
17,Gentle Man,Gentle Man b/w Disco Dennis,The Defaulters,33,5USP709Hvu8ApaxWk8pP0v,,
18,Duna Ma Yelema,Je chanterai pour toi,Boubacar Traoré,19,0HJwerukjDDd84wXbwLc43,,
19,LUV N DEVOTION,SUBMISSIVE,DESTIN CONRAD,36,1z0RylGOutcuAKix77tYYc,,
20,YES IT IS,MUTT,Leon Thomas,73,2iksjpqL3eraxCBKqNHuqd,,
21,Inside/Outside,Jan 14 (Piano Improvisations),Elijah Fox,25,6e7v13Rt9La90c26VMKbR9,,
22,Tears In Your Eyes,Good People,Majid Jordan,40,17pJWWBWy7WXSnGa58DIZy,,
23,If We Being Rëal,2093,Yeat,80,0YThXX1dqUpYBLyJNAsF9N,,
24,Abo Yiba,"Ethiopie, chants d'amour / Ethiopia, Love Songs",Wores G. Egziabher,4,5Bl4hKwQIyvy1wSMeEmv3B,,
25,Dimitri,Love Heart Cheat Code,Hiatus Kaiyote,47,1a4uzwj1AaLhwWN8rUQxjg,,
26,CHERIMOYA - BONUS,FORWARD,Jordan Ward,51,0k4S8MgCg1CKWUy5hNV8GA,,
27,4 This Moment,Cold Toronto,Che Ecru,53,1MWJbn3Yv8R1q5DaYOOzum,,
28,LET YOU KNOW (feat. $NOT),LET YOU KNOW (feat. $NOT),Eem Triplin,50,2t7OeIXiUbCnA27HqDN73A,,
29,Nafas,Nafas,The Spy From Cairo,41,7E0QWFzUelKPQGrobHfpj2,,
30,Wrong Way,((( 2 ))),((( O ))),31,0Mus1n0Xu6gKfE2Ux5iyot,,
31,LUNCH,HIT ME HARD AND SOFT,Billie Eilish,87,629DixmZGHc7ILtEntuiWE,,
32,HOW FAST,MUTT,Leon Thomas,55,6pMujuxDlZv5k8RWktJAQw,,
33,MARY'S STRAIN 144BPM,"MARYJANE, THE REMIXES",KHYA,40,25dkvHpCszey9vRGmx6JzX,,
34,Make Friends - Pocket Size Radio Edit,Make Friends,Hiatus Kaiyote,31,2TO33go9HrlIUiduVua6Ic,,
35,Timeless (feat. Playboi Carti),Timeless,The Weeknd,72,1Es7AUAhQvapIcoh3qMKDL,,
36,She Got Dat,She Got Dat,eLewminatti,14,1fN72FFplfqoj57tOsCbrJ,,
37,Blue Sands,Glass Flowers,Elysian Spring,57,4WBv31Au2sx5GXaSV8Q7y4,,
38,With You,Otherness,Kindness,0,71Ukt8JxMER4EcmJFVIjKN,,
39,MY HOUSE,MY HOUSE,Beyoncé,68,7omJfT9s6V2IpQNBYyq5C8,,
40,R e s e n t m e n t,R e s e n t m e n t,PARTYNEXTDOOR,62,4HISFDmENrT1reZ5nMUe4l,,
41,Moon interlude,Moon interlude,Duhkey,0,5g72TJuBwMewhFvr6gnowR,,
42,0495,FORWARD,Jordan Ward,35,6U3Do24Oaa2JruDP80gvRD,,
43,Alone In December,Good Intentions,Hello Yello,14,2pbdaZXyvGI4vpSWP6JR4b,,
44,Good Intentions,Good Intentions,Hello Yello,17,1wHStyw8d3GiqP906Gfsk6,,
45,u.,u.,Humble the Great,0,31YKmnHqN03fMd8XhEy6Et,,
46,cool_v2,cool_v2,Merges,58,1ICIA18RiiuG86FKOxwmNp,,
47,NISSAN ALTIMA,Alligator Bites Never Heal,Doechii,84,2dKkVF2m160z0RNDN2dddc,,
48,"Sunday Eve, Baby",The Bonnie,Bonnie Calista,32,5Qijvo3zogb96ejSUK6JEV,,
49,Hate Me,Hate Me,Lil Yachty,73,0QpiyJbgWUjyAQNqjIA5tO,,
