name,album,artist,popularity,track_id,genres,MBID
POOKIE'S REQUIEM,POOKIE'S REQUIEM,SAILORR,23,0Cu1FFIqiLPHXDLCxTUUnR,,b1a17965-b396-42e4-84f7-25d42b12f7c0
CASH COBELLA CHOW COBIZZY,2 SLIZZY 2 SEXY (DELUXE),Cash Cobain,23,5Y2rV3zOArTzTYKVD1umBA,,4f57372b-2054-4722-a534-a99ab2598120
Telescope,Telescope,Hiatus Kaiyote,27,29oH20WCU0mVO3SwfIaaib,,55c03773-59ea-4d4e-9057-87c2ecab005d
YEAH YEAH!,YEAH YEAH!,Eem Triplin,43,1spPgvtcDwxARDc8i6TYjT,,c834075f-eecf-4c27-8276-d54fc2c0ed86
smoke break,Animals Have Feelings,Samiyam,13,3ZHVUjAoLmwPCa2tTRfk2s,,6327bdfb-76b9-4a05-b447-01d98f1715dc
FRIENDZONE,FRIENDZONE,_BY.ALEXANDER,37,2CUWQEPhGo67JuDBng3jlN,,03a81802-28fb-4733-a506-132886e40ed5
WHERE YOU BEEN,Stay Safe,Foolie $urfin,21,5whMuC5R45eJ51iUGHKb4L,,6c59e924-22f5-4534-8975-a3fef0ab4d4a
Sparkle Tape Break Up,Mood Valiant,Hiatus Kaiyote,41,2HkkI8s7wDYFls9pMEnxPi,,55c03773-59ea-4d4e-9057-87c2ecab005d
On My Mama,On My Mama,Victoria Monét,66,1o8Z7GD1CeOaVBEyuzu4HO,,28d83274-26ab-4a6a-b9ff-340f4784e7dd
007 (Jersey Mix),Chrome Bull DLX,Duckwrth,44,1qLBZLeGS6FEHgVKWqhuVv,,2bc82618-2d0f-436e-adb2-8aa0774dd799
DANCING WITH DEMONS,MUTT,Leon Thomas,58,5d5zlLTuykcqoT4EhhyC2Q,,412ff65d-26bf-4849-ba19-d2a58030fd1a
Saturn,Saturn,SZA,83,1bjeWoagtHmUKputLVyDxQ,,272989c8-5535-492d-a25c-9f58803e027f
WHITE CROCS (with Ryan Trey),FORWARD,Jordan Ward,15,0VNe1ZE8U2baB3JKZpEBok,,1592ba81-f73b-4b13-b456-885630a1cfb2
311 (with Gwen Bunn),FORWARD,Jordan Ward,37,5cKRhjcflNOmlI2fqXBhjI,,1592ba81-f73b-4b13-b456-885630a1cfb2
How Dare You,St Germain,St Germain,44,4W3W4cbErPT3JCW60IxKKj,,9a04dc8c-82f1-457a-a25a-3ff19e1b471e
WALKED IN,STILL PRETTY,Eem Triplin,46,232hyHvhIvmKSmN9LXy53n,,c834075f-eecf-4c27-8276-d54fc2c0ed86
ALLOCATE,YEAH YEAH!,Eem Triplin,40,7njFMXMSIiLFzPH3jguEgt,,c834075f-eecf-4c27-8276-d54fc2c0ed86
Gentle Man,Gentle Man b/w Disco Dennis,The Defaulters,34,5USP709Hvu8ApaxWk8pP0v,,4c075066-c3f1-412c-bbcf-31ede03c89fc
Duna Ma Yelema,Je chanterai pour toi,Boubacar Traoré,19,0HJwerukjDDd84wXbwLc43,,5cc16125-511c-4669-9e56-651fec2690c3
LUV N DEVOTION,SUBMISSIVE,DESTIN CONRAD,36,1z0RylGOutcuAKix77tYYc,,66d80005-1809-4b72-a57a-3414e1c63d93
YES IT IS,MUTT,Leon Thomas,73,2iksjpqL3eraxCBKqNHuqd,,412ff65d-26bf-4849-ba19-d2a58030fd1a
Inside/Outside,Jan 14 (Piano Improvisations),Elijah Fox,27,6e7v13Rt9La90c26VMKbR9,,db12c40c-7e5d-420f-9923-e51c431ea0e3
Tears In Your Eyes,Good People,Majid Jordan,40,17pJWWBWy7WXSnGa58DIZy,,abaa7001-0d80-4e58-be5d-d2d246fd9d87
If We Being Rëal,2093,Yeat,80,0YThXX1dqUpYBLyJNAsF9N,,9e6a6a2f-f696-4cc0-87f1-e4f712e46802
Dimitri,Love Heart Cheat Code,Hiatus Kaiyote,48,1a4uzwj1AaLhwWN8rUQxjg,,55c03773-59ea-4d4e-9057-87c2ecab005d
CHERIMOYA - BONUS,FORWARD,Jordan Ward,51,0k4S8MgCg1CKWUy5hNV8GA,,1592ba81-f73b-4b13-b456-885630a1cfb2
